hippo_id,smiles,inchikey,required_amount_mg,quoted_amount,quote_currency,quote_price,quote_lead_time_days,quote_supplier,quote_catalogue,quote_entry,quoted_smiles,quoted_purity,num_reaction_dependencies,num_product_dependencies,reaction_dependencies,product_dependencies,chemistry_types,scaffold_series
1160,CNC(=O)C(C)O,BNWQAQKMWJQTQU-UHFFFAOYSA-N,3.0,3.0,EUR,23.0,5,Enamine,Stock,EN300-191099,CNC(=O)C(C)O,0.95,3,3,"[8347, 12057, 12562]","[11095, 15036, 15578]",Reductive_amination,"[411, 412, 421]"
9810,CCCC(O)CN,ZRUPXAZUXDFLTG-UHFFFAOYSA-N,3.0,3.0,EUR,23.0,5,Enamine,Stock,EN300-75514,CCCC(O)CN,0.95,3,3,"[8349, 12056, 12575]","[11097, 15035, 15591]",Reductive_amination,"[411, 412, 421]"
9812,CCC(O)C(C)N,JPGZDACJIPHKML-UHFFFAOYSA-N,4.0,4.0,EUR,90.0,5,Enamine,Stock,EN300-64821,CCC(O)C(C)N,0.95,4,4,"[8351, 12053, 12551, 28843]","[11099, 15032, 15567, 32765]","Reductive_amination, Nucleophilic_substitution_with_amine","[411, 412, 421, 848]"
1168,NCC(O)C(=O)O,BMYNFMYTOJXKLE-UHFFFAOYSA-N,3.0,3.0,EUR,14.0,5,Enamine,Stock,EN300-95550,NCC(O)C(=O)O,0.95,3,3,"[8423, 12264, 12583]","[11168, 15243, 15599]",Reductive_amination,"[411, 412, 421]"
9817,NCC(O)C(F)F,RHVLBJPNWATWIM-UHFFFAOYSA-N,3.0,3.0,EUR,54.0,5,Enamine,Stock,EN300-175160,Cl.NCC(O)C(F)F,0.95,3,3,"[8465, 12253, 12585]","[11207, 15232, 15601]",Reductive_amination,"[411, 412, 421]"
9822,CC(O)C(N)CO,MUVQIIBPDFTEKM-UHFFFAOYSA-N,3.0,3.0,EUR,14.0,5,Enamine,Stock,EN300-226445,Cl.C[C@@H](O)[C@H](N)CO,0.95,3,3,"[8473, 12206, 12558]","[11215, 15185, 15574]",Reductive_amination,"[411, 412, 421]"
9794,CC1(O)CNC1,LDLAEUFQUOXALI-UHFFFAOYSA-N,3.0,3.0,EUR,14.0,5,Enamine,Stock,EN300-113406,Cl.CC1(O)CNC1,0.95,3,3,"[8688, 11578, 11987]","[11423, 14557, 14966]",Reductive_amination,"[412, 421]"
9793,CC1CNCO1,HBVZPVWFLGXUAU-UHFFFAOYSA-N,3.0,100.0,EUR,133.0,10,Enamine,Global catalog,EN300-6934967,CC1CNCO1,,3,3,"[8690, 11596, 11984]","[11425, 14575, 14963]",Reductive_amination,"[412, 421]"
9796,CC1NCC1O,QIFJASJJDSEUFV-UHFFFAOYSA-N,3.0,100.0,EUR,118.0,10,Enamine,Global catalog,EN300-7471076,CC1NCC1O.Cl,,3,3,"[8725, 11576, 11979]","[11460, 14555, 14958]",Reductive_amination,"[412, 421]"
9792,NC1CCC1O,WXKBWWIWJCCING-UHFFFAOYSA-N,4.0,4.0,EUR,36.0,5,Enamine,Stock,EN300-26529104,"Cl.N[C@H]1CC[C@H]1O |&1:2,5,r|",0.95,4,4,"[8794, 11587, 11976, 28071]","[11529, 14566, 14955, 31993]","Reductive_amination, Nucleophilic_substitution_with_amine","[412, 421, 848]"
12163,COc1ccccc1OC1CNC1,HRDPFVMOJROTAD-UHFFFAOYSA-N,4.0,5.0,EUR,78.0,5,Enamine,Stock,EN300-7395101,Cl.COC=1C=CC=CC1OC2CNC2,0.95,4,4,"[9337, 9342, 9378, 9552]","[12245, 12250, 12286, 12460]",Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,[980]
12070,OCc1c(Cl)nc2sccn12,PWHRIJYPBNUZLZ-UHFFFAOYSA-N,3.0,3.0,EUR,36.0,5,Enamine,Stock,EN300-03016,OCC1=C(Cl)N=C2SC=CN12,0.95,3,3,"[9342, 9348, 9446]","[12250, 12256, 12354]",Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,[980]
12074,Cc1nc2sccn2c1CO,RNCFSVSYFCIZPM-UHFFFAOYSA-N,4.0,4.0,EUR,24.0,5,Enamine,Stock,EN300-64731,CC=1N=C2SC=CN2C1CO,0.95,4,4,"[9376, 9377, 9378, 9963]","[12284, 12285, 12286, 12871]",Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,[980]
12165,CC1(CN)COc2ccccc2O1,WLYCDJUUOAIBNZ-UHFFFAOYSA-N,3.0,4.0,EUR,70.0,5,Enamine,Stock,EN300-90144,CC1(CN)COC2=CC=CC=C2O1,0.95,3,3,"[9377, 9551, 9675]","[12285, 12459, 12583]",Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,[980]
12214,COc1ccc(Cl)cc1OC1CNC1,IIVOFUMVWIGQRU-UHFFFAOYSA-N,3.0,4.0,EUR,58.0,5,Enamine,Stock,EN300-45607238,Cl.COC=1C=CC(Cl)=CC1OC2CNC2,0.95,3,3,"[9446, 9963, 10889]","[12354, 12871, 13797]",Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,[980]
12080,CC(O)c1c(Cl)nc2sccn12,PNSGXXCGFMEHNT-UHFFFAOYSA-N,4.0,4.0,EUR,50.0,5,Enamine,Stock,EN300-83869,CC(O)C1=C(Cl)N=C2SC=CN12,0.95,4,4,"[9549, 9551, 9552, 10889]","[12457, 12459, 12460, 13797]",Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,[980]
12095,Cc1cn2c(CO)c(C)nc2s1,JJMMPXPZBLFCGN-UHFFFAOYSA-N,2.0,2.0,EUR,25.0,5,Enamine,Stock,EN300-23943,CC1=CN2C(CO)=C(C)N=C2S1,0.95,2,2,"[9675, 9699]","[12583, 12607]",Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,[980]
13953,CC(C)Cn1c(C=O)nc2ccccc21,YSSSSYAZMZMSNB-UHFFFAOYSA-N,3.0,3.0,EUR,15.0,5,Enamine,Stock,EN300-236397,CC(C)CN1C(C=O)=NC=2C=CC=CC21,0.95,3,3,"[11174, 11262, 11263]","[14153, 14241, 14242]",Reductive_amination,[421]
